Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
died,3,male,22,1,0,7.25,S
survived,1,female,38,1,0,71.2833,C
survived,3,female,26,0,0,7.925,S
survived,1,female,35,1,0,53.1,S
died,3,male,35,0,0,8.05,S
died,1,male,54,0,0,51.8625,S
died,3,male,2,3,1,21.075,S
survived,3,female,27,0,2,11.1333,S
survived,2,female,14,1,0,30.0708,C
survived,3,female,4,1,1,16.7,S
survived,1,female,58,0,0,26.55,S
died,3,male,20,0,0,8.05,S
died,3,male,39,1,5,31.275,S
died,3,female,14,0,0,7.8542,S
survived,2,female,55,0,0,16,S
died,3,male,2,4,1,29.125,Q
died,3,female,31,1,0,18,S
died,2,male,35,0,0,26,S
survived,2,male,34,0,0,13,S
survived,3,female,15,0,0,8.0292,Q
survived,1,male,28,0,0,35.5,S
died,3,female,8,3,1,21.075,S
survived,3,female,38,1,5,31.3875,S
died,1,male,19,3,2,263,S
died,1,male,40,0,0,27.7208,C
died,2,male,66,0,0,10.5,S
died,1,male,28,1,0,82.1708,C
died,1,male,42,1,0,52,S
died,3,male,21,0,0,8.05,S
died,3,female,18,2,0,18,S
survived,3,female,14,1,0,11.2417,C
died,3,female,40,1,0,9.475,S
died,2,female,27,1,0,21,S
survived,2,female,3,1,2,41.5792,C
survived,3,female,19,0,0,7.8792,Q
died,3,female,18,1,0,17.8,S
died,3,male,7,4,1,39.6875,S
died,3,male,21,0,0,7.8,S
survived,1,female,49,1,0,76.7292,C
survived,2,female,29,1,0,26,S
died,1,male,65,0,1,61.9792,C
survived,2,female,21,0,0,10.5,S
died,3,male,28.5,0,0,7.2292,C
survived,2,female,5,1,2,27.75,S
died,3,male,11,5,2,46.9,S
died,3,male,22,0,0,7.2292,C
died,1,male,45,1,0,83.475,S
died,3,male,4,3,2,27.9,S
survived,2,female,29,0,0,10.5,S
died,3,male,19,0,0,8.1583,S
survived,3,female,17,4,2,7.925,S
died,3,male,26,2,0,8.6625,S
died,2,male,32,0,0,10.5,S
died,3,female,16,5,2,46.9,S
died,2,male,21,0,0,73.5,S
died,3,male,26,1,0,14.4542,C
survived,3,male,32,0,0,56.4958,S
died,3,male,25,0,0,7.65,S
survived,2,male,0.83,0,2,29,S
survived,3,female,30,0,0,12.475,S
died,3,male,22,0,0,9,S
survived,3,male,29,0,0,9.5,S
died,1,male,28,0,0,47.1,S
survived,2,female,17,0,0,10.5,S
survived,3,female,33,3,0,15.85,S
died,3,male,16,1,3,34.375,S
survived,1,female,23,3,2,263,S
died,3,male,24,0,0,8.05,S
died,3,male,29,0,0,8.05,S
died,3,male,20,0,0,7.8542,S
died,1,male,46,1,0,61.175,S
died,3,male,26,1,2,20.575,S
died,3,male,59,0,0,7.25,S
died,1,male,71,0,0,34.6542,C
survived,1,male,23,0,1,63.3583,C
survived,2,female,34,0,1,23,S
died,2,male,34,1,0,26,S
died,3,female,28,0,0,7.8958,S
died,1,male,21,0,1,77.2875,S
died,3,male,33,0,0,8.6542,S
died,3,male,37,2,0,7.925,S
died,3,male,28,0,0,7.8958,S
survived,3,female,21,0,0,7.65,S
died,3,male,38,0,0,7.8958,S
died,1,male,47,0,0,52,S
died,3,female,14.5,1,0,14.4542,C
died,3,male,22,0,0,8.05,S
died,3,female,20,1,0,9.825,S
died,3,female,17,0,0,14.4583,C
died,3,male,21,0,0,7.925,S
died,3,male,70.5,0,0,7.75,Q
died,2,male,29,1,0,21,S
died,1,male,24,0,1,247.5208,C
died,3,female,2,4,2,31.275,S
died,2,male,21,2,0,73.5,S
died,2,male,32.5,1,0,30.0708,C
survived,2,female,32.5,0,0,13,S
died,1,male,54,0,1,77.2875,S
survived,3,male,12,1,0,11.2417,C
survived,3,male,24,0,0,7.1417,S
died,3,male,45,0,0,6.975,S
died,3,male,33,0,0,7.8958,C
died,3,male,20,0,0,7.05,S
died,3,female,47,1,0,14.5,S
survived,2,female,29,1,0,26,S
died,2,male,25,0,0,13,S
died,2,male,23,0,0,15.0458,C
survived,1,female,19,0,2,26.2833,S
died,1,male,37,1,0,53.1,S
died,3,male,16,0,0,9.2167,S
died,1,male,24,0,0,79.2,C
survived,3,female,22,0,0,7.75,S
survived,3,female,24,1,0,15.85,S
died,3,male,19,0,0,6.75,Q
died,2,male,18,0,0,11.5,S
died,2,male,19,1,1,36.75,S
survived,3,male,27,0,0,7.7958,S
died,3,female,9,2,2,34.375,S
died,2,male,36.5,0,2,26,S
died,2,male,42,0,0,13,S
died,2,male,51,0,0,12.525,S
survived,1,female,22,1,0,66.6,S
died,3,male,55.5,0,0,8.05,S
died,3,male,40.5,0,2,14.5,S
died,1,male,51,0,1,61.3792,C
survived,3,female,16,0,0,7.7333,Q
died,3,male,30,0,0,8.05,S
died,3,male,44,0,1,16.1,S
survived,2,female,40,0,0,15.75,S
died,3,male,26,0,0,7.775,S
died,3,male,17,0,0,8.6625,S
died,3,male,1,4,1,39.6875,S
survived,3,male,9,0,2,20.525,S
died,3,female,45,1,4,27.9,S
died,3,male,28,0,0,56.4958,S
died,1,male,61,0,0,33.5,S
died,3,male,4,4,1,29.125,Q
survived,3,female,1,1,1,11.1333,S
died,3,male,21,0,0,7.925,S
died,1,male,56,0,0,30.6958,C
died,3,male,18,1,1,7.8542,S
died,1,female,50,0,0,28.7125,C
died,2,male,30,0,0,13,S
died,3,male,36,0,0,0,S
died,3,male,9,4,2,31.3875,S
survived,2,male,1,2,1,39,S
survived,3,female,4,0,2,22.025,S
survived,1,male,45,0,0,26.55,S
died,3,male,40,1,1,15.5,Q
died,3,male,36,0,0,7.8958,S
survived,2,female,32,0,0,13,S
died,2,male,19,0,0,13,S
survived,3,female,19,1,0,7.8542,S
survived,2,male,3,1,1,26,S
survived,1,female,44,0,0,27.7208,C
survived,1,female,58,0,0,146.5208,C
died,3,male,42,0,1,8.4042,S
died,2,female,24,0,0,13,S
died,3,male,28,0,0,9.5,S
died,3,male,34,0,0,6.4958,S
died,3,male,45.5,0,0,7.225,C
survived,3,male,18,0,0,8.05,S
died,3,female,2,0,1,10.4625,S
died,3,male,32,1,0,15.85,S
survived,3,male,26,0,0,18.7875,C
survived,3,female,16,0,0,7.75,Q
survived,1,male,40,0,0,31,C
died,3,male,24,0,0,7.05,S
survived,2,female,35,0,0,21,S
died,3,male,22,0,0,7.25,S
died,2,male,30,0,0,13,S
survived,1,female,31,1,0,113.275,C
survived,3,female,27,0,0,7.925,S
died,2,male,42,1,0,27,S
survived,1,female,32,0,0,76.2917,C
died,2,male,30,0,0,10.5,S
survived,3,male,16,0,0,8.05,S
died,2,male,27,0,0,13,S
died,3,male,51,0,0,8.05,S
survived,1,male,38,1,0,90,S
died,3,male,22,0,0,9.35,S
survived,2,male,19,0,0,10.5,S
died,3,male,20.5,0,0,7.25,S
died,2,male,18,0,0,13,S
survived,1,female,35,1,0,83.475,S
died,3,male,29,0,0,7.775,S
died,2,male,59,0,0,13.5,S
survived,3,female,5,4,2,31.3875,S
died,2,male,24,0,0,10.5,S
died,2,male,44,1,0,26,S
survived,2,female,8,0,2,26.25,S
died,2,male,19,0,0,10.5,S
died,2,male,33,0,0,12.275,S
died,2,male,29,0,0,10.5,S
died,3,male,22,0,0,7.125,S
died,3,male,30,0,0,7.225,C
died,1,male,44,2,0,90,Q
died,3,female,25,0,0,7.775,S
survived,2,female,24,0,2,14.5,S
survived,1,male,37,1,1,52.5542,S
died,2,male,54,1,0,26,S
died,3,female,29,1,1,10.4625,S
died,1,male,62,0,0,26.55,S
died,3,male,30,1,0,16.1,S
died,3,female,41,0,2,20.2125,S
survived,3,female,29,0,2,15.2458,C
survived,1,female,30,0,0,86.5,S
survived,1,female,35,0,0,512.3292,C
survived,2,female,50,0,1,26,S
survived,3,male,3,4,2,31.3875,S
died,1,male,52,1,1,79.65,S
died,1,male,40,0,0,0,S
died,2,male,36,0,0,10.5,S
died,3,male,16,4,1,39.6875,S
survived,3,male,25,1,0,7.775,S
survived,1,female,58,0,1,153.4625,S
survived,1,female,35,0,0,135.6333,S
survived,3,male,25,0,0,0,S
survived,2,female,41,0,1,19.5,S
died,1,male,37,0,1,29.7,C
survived,1,female,63,1,0,77.9583,S
died,3,female,45,0,0,7.75,S
died,3,male,7,4,1,29.125,Q
survived,3,female,35,1,1,20.25,S
died,3,male,65,0,0,7.75,Q
died,3,male,28,0,0,7.8542,S
died,3,male,16,0,0,9.5,S
survived,3,male,19,0,0,8.05,S
died,3,male,33,0,0,8.6625,C
survived,3,male,30,0,0,9.5,S
died,3,male,22,0,0,7.8958,S
survived,2,male,42,0,0,13,S
survived,3,female,22,0,0,7.75,Q
survived,1,female,26,0,0,78.85,S
survived,1,female,19,1,0,91.0792,C
died,2,male,36,0,0,12.875,C
died,3,female,24,0,0,8.85,S
died,3,male,24,0,0,7.8958,S
died,3,male,23.5,0,0,7.2292,C
died,1,female,2,1,2,151.55,S
survived,1,female,50,0,1,247.5208,C
died,3,male,19,0,0,0,S
survived,1,male,0.92,1,2,151.55,S
survived,1,female,17,1,0,108.9,C
died,2,male,30,1,0,24,C
survived,1,female,30,0,0,56.9292,C
survived,1,female,24,0,0,83.1583,C
survived,1,female,18,2,2,262.375,C
died,2,female,26,1,1,26,S
died,3,male,28,0,0,7.8958,S
died,2,male,43,1,1,26.25,S
survived,3,female,26,0,0,7.8542,S
survived,2,female,24,1,0,26,S
died,2,male,54,0,0,14,S
survived,1,female,31,0,2,164.8667,S
survived,1,female,40,1,1,134.5,C
died,3,male,22,0,0,7.25,S
died,3,male,27,0,0,7.8958,S
survived,2,female,30,0,0,12.35,Q
survived,2,female,22,1,1,29,S
survived,1,female,36,0,0,135.6333,C
died,3,male,61,0,0,6.2375,S
survived,2,female,36,0,0,13,S
survived,3,female,31,1,1,20.525,S
survived,1,female,16,0,1,57.9792,C
died,1,male,45.5,0,0,28.5,S
died,1,male,38,0,1,153.4625,S
died,3,male,16,2,0,18,S
died,1,male,29,1,0,66.6,S
survived,1,female,41,0,0,134.5,C
survived,3,male,45,0,0,8.05,S
died,1,male,45,0,0,35.5,S
survived,2,male,2,1,1,26,S
survived,1,female,24,3,2,263,S
died,2,male,28,0,0,13,S
died,2,male,25,0,0,13,S
died,2,male,36,0,0,13,S
survived,2,female,24,0,0,13,S
survived,2,female,40,0,0,13,S
survived,3,male,3,1,1,15.9,S
died,3,male,42,0,0,8.6625,S
died,3,male,23,0,0,9.225,S
died,3,male,15,1,1,7.2292,C
died,3,male,25,1,0,17.8,S
died,3,male,28,0,0,9.5,S
survived,1,female,22,0,1,55,S
died,2,female,38,0,0,13,S
died,3,male,40,1,4,27.9,S
died,2,male,29,1,0,27.7208,C
died,3,female,45,0,1,14.4542,C
died,3,male,35,0,0,7.05,S
died,3,male,30,0,0,7.25,S
survived,1,female,60,1,0,75.25,C
survived,1,female,24,0,0,69.3,C
survived,1,male,25,1,0,55.4417,C
died,3,male,18,1,0,6.4958,S
died,3,male,19,0,0,8.05,S
died,1,male,22,0,0,135.6333,C
died,3,female,3,3,1,21.075,S
survived,3,female,22,0,0,7.25,S
died,1,male,27,0,2,211.5,C
died,3,male,20,0,0,4.0125,C
died,3,male,19,0,0,7.775,S
survived,1,female,42,0,0,227.525,C
survived,3,female,1,0,2,15.7417,C
died,3,male,32,0,0,7.925,S
survived,1,female,35,1,0,52,S
died,2,male,18,0,0,73.5,S
died,3,male,1,5,2,46.9,S
survived,2,female,36,0,0,13,S
survived,2,female,17,0,0,12,C
survived,1,male,36,1,2,120,S
survived,3,male,21,0,0,7.7958,S
died,3,male,28,2,0,7.925,S
survived,1,female,23,1,0,113.275,C
survived,3,female,24,0,2,16.7,S
died,3,male,22,0,0,7.7958,S
died,3,female,31,0,0,7.8542,S
died,2,male,46,0,0,26,S
died,2,male,23,0,0,10.5,S
survived,2,female,28,0,0,12.65,S
survived,3,male,39,0,0,7.925,S
died,3,male,26,0,0,8.05,S
died,3,female,21,1,0,9.825,S
died,3,male,28,1,0,15.85,S
died,3,female,20,0,0,8.6625,S
died,2,male,34,1,0,21,S
died,3,male,51,0,0,7.75,S
survived,2,male,3,1,1,18.75,S
died,3,male,21,0,0,7.775,S
survived,1,female,33,1,0,90,Q
survived,3,male,44,0,0,7.925,S
survived,2,female,34,1,1,32.5,S
survived,2,female,18,0,2,13,S
died,2,male,30,0,0,13,S
died,3,female,10,0,2,24.15,S
died,3,male,21,0,0,7.7333,Q
died,3,male,29,0,0,7.875,S
died,3,female,28,1,1,14.4,S
died,3,male,18,1,1,20.2125,S
survived,2,female,28,1,0,26,S
survived,2,female,19,0,0,26,S
survived,3,male,32,0,0,8.05,S
survived,1,male,28,0,0,26.55,S
survived,2,female,42,1,0,26,S
died,3,male,17,0,0,7.125,S
died,1,male,50,1,0,55.9,S
survived,1,female,14,1,2,120,S
died,3,female,21,2,2,34.375,S
survived,2,female,24,2,3,18.75,S
died,1,male,64,1,4,263,S
died,2,male,31,0,0,10.5,S
survived,2,female,45,1,1,26.25,S
died,3,male,20,0,0,9.5,S
died,3,male,25,1,0,7.775,S
survived,2,female,28,0,0,13,S
survived,1,male,4,0,2,81.8583,S
survived,2,female,13,0,1,19.5,S
survived,1,male,34,0,0,26.55,S
survived,3,female,5,2,1,19.2583,C
survived,1,male,52,0,0,30.5,S
died,2,male,36,1,2,27.75,S
died,1,male,30,0,0,27.75,C
survived,1,male,49,1,0,89.1042,C
survived,3,male,29,0,0,7.8958,C
died,1,male,65,0,0,26.55,S
survived,2,female,50,0,0,10.5,S
survived,1,male,48,0,0,26.55,S
died,3,male,34,0,0,8.05,S
died,1,male,47,0,0,38.5,S
died,2,male,48,0,0,13,S
died,3,male,38,0,0,7.05,S
died,1,male,56,0,0,26.55,S
survived,3,female,0.75,2,1,19.2583,C
died,3,male,38,0,0,8.6625,S
survived,2,female,33,1,2,27.75,S
survived,2,female,23,0,0,13.7917,C
died,3,female,22,0,0,9.8375,S
died,2,male,34,1,0,21,S
died,3,male,29,1,0,7.0458,S
died,3,male,22,0,0,7.5208,S
survived,3,female,2,0,1,12.2875,S
died,3,male,9,5,2,46.9,S
died,3,male,50,0,0,8.05,S
survived,3,female,63,0,0,9.5875,S
survived,1,male,25,1,0,91.0792,C
survived,1,female,35,1,0,90,S
died,1,male,58,0,0,29.7,C
died,3,male,30,0,0,8.05,S
survived,3,male,9,1,1,15.9,S
died,3,male,21,0,0,7.25,S
died,1,male,55,0,0,30.5,S
died,1,male,71,0,0,49.5042,C
died,3,male,21,0,0,8.05,S
survived,1,female,54,1,0,78.2667,C
died,1,female,25,1,2,151.55,S
died,3,male,24,0,0,7.7958,S
died,3,male,17,0,0,8.6625,S
died,3,female,21,0,0,7.75,Q
died,3,female,37,0,0,9.5875,S
survived,1,female,16,0,0,86.5,S
died,1,male,18,1,0,108.9,C
survived,2,female,33,0,2,26,S
died,3,male,28,0,0,22.525,S
survived,3,male,26,0,0,56.4958,S
survived,3,male,29,0,0,7.75,Q
survived,1,male,36,0,0,26.2875,S
survived,1,female,54,1,0,59.4,C
died,3,male,24,0,0,7.4958,S
died,1,male,47,0,0,34.0208,S
survived,2,female,34,0,0,10.5,S
survived,2,female,36,1,0,26,S
died,3,male,32,0,0,7.8958,S
survived,1,female,30,0,0,93.5,S
died,3,male,22,0,0,7.8958,S
survived,1,female,44,0,1,57.9792,C
died,3,male,40.5,0,0,7.75,Q
survived,2,female,50,0,0,10.5,S
died,3,male,39,0,0,7.925,S
died,2,male,23,2,1,11.5,S
survived,2,female,2,1,1,26,S
died,3,male,17,1,1,7.2292,C
died,3,female,30,0,0,8.6625,S
survived,2,female,7,0,2,26.25,S
died,1,male,45,0,0,26.55,S
survived,1,female,30,0,0,106.425,C
survived,1,female,22,0,2,49.5,C
survived,1,female,36,0,2,71,S
died,3,female,9,4,2,31.275,S
died,3,female,11,4,2,31.275,S
survived,2,male,32,1,0,26,S
died,1,male,50,1,0,106.425,C
died,1,male,64,0,0,26,S
survived,2,female,19,1,0,26,S
died,3,male,33,1,1,20.525,S
survived,2,male,8,1,1,36.75,S
survived,1,male,17,0,2,110.8833,C
died,2,male,27,0,0,26,S
survived,3,male,22,0,0,7.225,C
survived,3,female,22,0,0,7.775,S
died,1,male,62,0,0,26.55,S
survived,1,female,48,1,0,39.6,C
survived,1,female,39,1,1,79.65,S
survived,3,female,36,1,0,17.4,S
died,3,male,40,0,0,7.8958,S
died,2,male,28,0,0,13.5,S
died,3,male,24,2,0,24.15,S
died,3,male,19,0,0,7.8958,S
died,3,female,29,0,4,21.075,S
survived,3,male,32,0,0,7.8542,S
survived,2,male,62,0,0,10.5,S
survived,1,female,53,2,0,51.4792,S
survived,1,male,36,0,0,26.3875,S
died,3,male,16,0,0,8.05,S
died,3,male,19,0,0,14.5,S
survived,2,female,34,0,0,13,S
survived,1,female,39,1,0,55.9,S
survived,3,male,32,0,0,7.925,S
survived,2,female,25,1,1,30,S
survived,1,female,39,1,1,110.8833,C
died,2,male,54,0,0,26,S
died,1,male,36,0,0,40.125,C
survived,1,female,18,0,2,79.65,S
died,2,male,47,0,0,15,S
survived,1,male,60,1,1,79.2,C
died,3,male,22,0,0,8.05,S
died,3,male,35,0,0,7.125,S
survived,1,female,52,1,0,78.2667,C
died,3,male,47,0,0,7.25,S
died,2,male,37,1,0,26,S
died,3,male,36,1,1,24.15,S
died,3,male,49,0,0,0,S
survived,1,male,49,1,0,56.9292,C
survived,2,female,24,2,1,27,S
died,3,male,44,0,0,8.05,S
survived,1,male,35,0,0,26.55,C
died,3,male,36,1,0,15.55,S
died,3,male,30,0,0,7.8958,S
survived,1,male,27,0,0,30.5,S
survived,2,female,22,1,2,41.5792,C
survived,1,female,40,0,0,153.4625,S
died,3,female,39,1,5,31.275,S
died,3,male,35,0,0,8.05,S
survived,2,female,24,1,2,65,S
died,3,male,34,1,1,14.4,S
died,3,female,26,1,0,16.1,S
survived,2,female,4,2,1,39,S
died,2,male,26,0,0,10.5,S
died,3,male,27,1,0,14.4542,C
survived,1,male,42,1,0,52.5542,S
survived,3,male,20,1,1,15.7417,C
died,3,male,21,0,0,7.8542,S
died,3,male,21,0,0,16.1,S
died,1,male,61,0,0,32.3208,S
died,2,male,57,0,0,12.35,Q
survived,1,female,21,0,0,77.9583,S
died,3,male,26,0,0,7.8958,S
survived,1,male,80,0,0,30,S
died,3,male,51,0,0,7.0542,S
survived,1,male,32,0,0,30.5,C
died,3,female,9,3,2,27.9,S
survived,2,female,28,0,0,13,S
died,3,male,32,0,0,7.925,S
died,2,male,31,1,1,26.25,S
died,3,female,41,0,5,39.6875,S
died,3,male,20,0,0,7.8542,S
survived,1,female,24,0,0,69.3,C
died,3,female,2,3,2,27.9,S
survived,3,female,0.75,2,1,19.2583,C
survived,1,male,48,1,0,76.7292,C
died,3,male,19,0,0,7.8958,S
survived,1,male,56,0,0,35.5,C
survived,3,female,23,0,0,7.55,S
survived,2,female,18,0,1,23,S
died,3,male,21,0,0,8.4333,S
died,3,female,18,0,0,6.75,Q
died,2,male,24,2,0,73.5,S
died,3,female,32,1,1,15.5,Q
died,2,male,23,0,0,13,S
died,1,male,58,0,2,113.275,C
survived,1,male,50,2,0,133.65,S
died,3,male,40,0,0,7.225,C
died,1,male,47,0,0,25.5875,S
died,3,male,36,0,0,7.4958,S
survived,3,male,20,1,0,7.925,S
died,2,male,32,2,0,73.5,S
died,2,male,25,0,0,13,S
died,3,male,43,0,0,8.05,S
survived,2,female,40,1,1,39,S
died,1,male,31,1,0,52,S
died,2,male,70,0,0,10.5,S
survived,2,male,31,0,0,13,S
died,3,male,18,0,0,7.775,S
died,3,male,24.5,0,0,8.05,S
survived,3,female,18,0,0,9.8417,S
died,3,female,43,1,6,46.9,S
survived,1,male,36,0,1,512.3292,C
survived,1,male,27,0,0,76.7292,C
died,3,male,20,0,0,9.225,S
died,3,male,14,5,2,46.9,S
died,2,male,60,1,1,39,S
died,2,male,25,1,2,41.5792,C
died,3,male,14,4,1,39.6875,S
died,3,male,19,0,0,10.1708,S
died,3,male,18,0,0,7.7958,S
survived,1,female,15,0,1,211.3375,S
survived,1,male,31,1,0,57,S
survived,3,female,4,0,1,13.4167,C
died,3,male,25,0,0,7.225,C
died,1,male,60,0,0,26.55,S
died,2,male,52,0,0,13.5,S
died,3,male,44,0,0,8.05,S
died,1,male,49,1,1,110.8833,C
died,3,male,42,0,0,7.65,S
survived,1,female,18,1,0,227.525,C
survived,1,male,35,0,0,26.2875,S
died,3,female,18,0,1,14.4542,C
died,3,male,25,0,0,7.7417,Q
died,3,male,26,1,0,7.8542,S
died,2,male,39,0,0,26,S
survived,2,female,45,0,0,13.5,S
survived,1,male,42,0,0,26.2875,S
survived,1,female,22,0,0,151.55,S
survived,1,female,24,0,0,49.5042,C
survived,1,male,48,1,0,52,S
died,3,male,29,0,0,9.4833,S
died,2,male,52,0,0,13,S
died,3,male,19,0,0,7.65,S
survived,1,female,38,0,0,227.525,C
survived,2,female,27,0,0,10.5,S
died,3,male,33,0,0,7.775,S
survived,2,female,6,0,1,33,S
died,3,male,17,1,0,7.0542,S
died,2,male,34,0,0,13,S
died,2,male,50,0,0,13,S
survived,1,male,27,1,0,53.1,S
died,3,male,20,0,0,8.6625,S
survived,2,female,30,3,0,21,S
died,2,male,25,1,0,26,S
died,3,female,25,1,0,7.925,S
survived,1,female,29,0,0,211.3375,S
died,3,male,11,0,0,18.7875,C
died,2,male,23,0,0,13,S
died,2,male,23,0,0,13,S
died,3,male,28.5,0,0,16.1,S
died,3,female,48,1,3,34.375,S
survived,1,male,35,0,0,512.3292,C
died,1,male,36,1,0,78.85,S
survived,1,female,21,2,2,262.375,C
died,3,male,24,1,0,16.1,S
survived,3,male,31,0,0,7.925,S
died,1,male,70,1,1,71,S
died,3,male,16,1,1,20.25,S
survived,2,female,30,0,0,13,S
died,1,male,19,1,0,53.1,S
died,3,male,31,0,0,7.75,Q
survived,2,female,4,1,1,23,S
survived,3,male,6,0,1,12.475,S
died,3,male,33,0,0,9.5,S
died,3,male,23,0,0,7.8958,S
survived,2,female,48,1,2,65,S
survived,2,male,0.67,1,1,14.5,S
died,3,male,28,0,0,7.7958,S
died,2,male,18,0,0,11.5,S
died,3,male,34,0,0,8.05,S
survived,1,female,33,0,0,86.5,S
died,3,male,41,0,0,7.125,S
survived,3,male,20,0,0,7.2292,C
survived,1,female,36,1,2,120,S
died,3,male,16,0,0,7.775,S
survived,1,female,51,1,0,77.9583,S
died,3,female,30.5,0,0,7.75,Q
died,3,male,32,0,0,8.3625,S
died,3,male,24,0,0,9.5,S
died,3,male,48,0,0,7.8542,S
died,2,female,57,0,0,10.5,S
survived,2,female,54,1,3,23,S
died,3,male,18,0,0,7.75,S
survived,3,female,5,0,0,12.475,S
survived,1,female,43,0,1,211.3375,S
survived,3,female,13,0,0,7.2292,C
survived,1,female,17,1,0,57,S
died,1,male,29,0,0,30,S
died,3,male,25,0,0,7.05,S
died,3,male,25,0,0,7.25,S
survived,3,female,18,0,0,7.4958,S
died,3,male,8,4,1,29.125,Q
survived,3,male,1,1,2,20.575,S
died,1,male,46,0,0,79.2,C
died,2,male,16,0,0,26,S
died,3,male,25,0,0,7.8958,S
died,2,male,39,0,0,13,S
survived,1,female,49,0,0,25.9292,S
survived,3,female,31,0,0,8.6833,S
died,3,male,30,0,0,7.2292,C
died,3,female,30,1,1,24.15,S
died,2,male,34,0,0,13,S
survived,2,female,31,1,1,26.25,S
survived,1,male,11,1,2,120,S
survived,3,male,0.42,0,1,8.5167,C
survived,3,male,27,0,0,6.975,S
died,3,male,31,0,0,7.775,S
died,1,male,39,0,0,0,S
died,3,female,18,0,0,7.775,S
died,2,male,39,0,0,13,S
survived,1,female,33,1,0,53.1,S
died,3,male,26,0,0,7.8875,S
died,3,male,39,0,0,24.15,S
died,2,male,35,0,0,10.5,S
died,3,female,6,4,2,31.275,S
died,3,male,30.5,0,0,8.05,S
died,3,female,23,0,0,7.925,S
died,2,male,31,1,1,37.0042,C
died,3,male,43,0,0,6.45,S
died,3,male,10,3,2,27.9,S
survived,1,female,52,1,1,93.5,S
survived,3,male,27,0,0,8.6625,S
died,1,male,38,0,0,0,S
survived,3,female,27,0,1,12.475,S
died,3,male,2,4,1,39.6875,S
survived,2,male,1,0,2,37.0042,C
survived,3,female,15,1,0,14.4542,C
survived,2,male,0.83,1,1,18.75,S
died,3,male,23,0,0,7.8542,S
died,3,male,18,0,0,8.3,S
survived,1,female,39,1,1,83.1583,C
died,3,male,21,0,0,8.6625,S
survived,3,male,32,0,0,56.4958,S
died,3,male,20,0,0,7.925,S
died,2,male,16,0,0,10.5,S
survived,1,female,30,0,0,31,C
died,3,male,34.5,0,0,6.4375,C
died,3,male,17,0,0,8.6625,S
died,3,male,42,0,0,7.55,S
died,3,male,35,0,0,7.8958,C
died,2,male,28,0,1,33,S
died,3,male,4,4,2,31.275,S
died,3,male,74,0,0,7.775,S
died,3,female,9,1,1,15.2458,C
survived,1,female,16,0,1,39.4,S
died,2,female,44,1,0,26,S
survived,3,female,18,0,1,9.35,S
survived,1,female,45,1,1,164.8667,S
survived,1,male,51,0,0,26.55,S
survived,3,female,24,0,3,19.2583,C
died,3,male,41,2,0,14.1083,S
died,2,male,21,1,0,11.5,S
survived,1,female,48,0,0,25.9292,S
died,2,male,24,0,0,13,S
survived,2,female,42,0,0,13,S
survived,2,female,27,1,0,13.8583,C
died,1,male,31,0,0,50.4958,S
survived,3,male,4,1,1,11.1333,S
died,3,male,26,0,0,7.8958,S
survived,1,female,47,1,1,52.5542,S
died,1,male,33,0,0,5,S
died,3,male,47,0,0,9,S
survived,2,female,28,1,0,24,C
survived,3,female,15,0,0,7.225,C
died,3,male,20,0,0,9.8458,S
died,3,male,19,0,0,7.8958,S
survived,1,female,56,0,1,83.1583,C
survived,2,female,25,0,1,26,S
died,3,male,33,0,0,7.8958,S
died,3,female,22,0,0,10.5167,S
died,2,male,28,0,0,10.5,S
died,3,male,25,0,0,7.05,S
died,3,female,39,0,5,29.125,Q
died,2,male,27,0,0,13,S
survived,1,female,19,0,0,30,S
survived,1,male,26,0,0,30,C
died,3,male,32,0,0,7.75,Q
